Variable                        LIDARS-GALORE SINK-HIGH-LAT BAL-LOW-BAND  BALANCED       KITCHEN-SINK   SINK-LOW-BAND  BASELINE       BAL-HIGH-LAT   BUMPER-CAR     
*AUTONOMOUS-WAYPOINT-DISTANCE*            50            50            50            50             50             50             50             50             50   
*AVERAGE-CYCLE-TIME*                 1.38876    1676.61660       9.88969      42.05461     2113.57670     3656.21440       81.35460       82.11588      181.80682   
*BELLY-BITS*                        12582912      12582912             0      12582912       12582912       12582912              0       12582912              0   
*BELLY-PAYLOAD*                      3145728       3145728             0       3145728        3145728       12582912              0        3145728              0   
*BUMPER-BITS*                           1280          2560          1280          1280           1280           1280           1280           1280           1280   
*BUMPER-EVAL-PAYLOAD*               14155776     216662016     163577856     213909504      213909504       18984960      276824064      239075328      276824064   
*BUMPER-EVAL-TIME*                       400            60           150           150             60            300            300            400            500   
*BUMPER-PAYLOAD*                        1280          2560          1280          1280           1280           1280           1280           1280           1280   
*BUMPER-TRIGGER-RATE*                0.00200       0.00200       0.00250       0.00400        0.00800        0.00200        0.00800        0.00800        0.00800   
*DEFAULT-SENSOR-PAYLOAD*        LIDAR-PAYLOAD LIDAR-PAYLOAD LIDAR-PAYLOAD NAVCAM-PAYLOAD NAVCAM-PAYLOAD NAVCAM-PAYLOAD NAVCAM-PAYLOAD NAVCAM-PAYLOAD NAVCAM-PAYLOAD 
*DESIGN-CASE*                              4             6             9             2              3              8              1              5              7   
*DESIGN-CASE-NAME*              LIDARS-GALORE SINK-HIGH-LAT BAL-LOW-BAND      BALANCED   KITCHEN-SINK   SINK-LOW-BAND      BASELINE   BAL-HIGH-LAT     BUMPER-CAR   
*DOWNLINK-LATENCY*                        10           120            10            10             10             10             10            120             10   
*DOWNLINK-RATE*                       400000        400000         60000        400000         400000          60000         400000         400000         400000   
*DRIVE-DISTANCE-ALONG-PATH*                0             0             0             0              0              0              0              0              0   
*DRIVER-DECISION-TIME-DAY*                 1             1             1            15             15             30             30             45             45   
*DRIVER-DECISION-TIME-NIGHT*               1             1             1            30             30             45             45             60             60   
*DRIVING-METHOD*                  CONTINUOUS    AUTONOMOUS    CONTINUOUS    CONTINUOUS     AUTONOMOUS     AUTONOMOUS    STOP-AND-GO    STOP-AND-GO     CONTINUOUS   
*DUTY-CYCLE*                         0.78733       0.30685       0.35029       0.27983        0.22312        0.13717        0.23451        0.08931        0.09098   
*ENTER-PSR-DECISION-TIME*                 60            60            60            60             60             60             60             60             60   
*FINAL-ROVER-POSITION*            5000.03900    3000.07320    3000.04000    4000.36800     4000.31760     3002.15940     5000.78500     4000.13130     6002.89450   
*FINAL-TIME*                     63835.83000  102273.61000  105305.41000  151606.87000   200789.78000   223029.08000   242029.94000   469538.62000   705228.70000   
*GROUND-PROCESSING-TIME*                   2             2             2             2              2              2              2              2              2   
*HAZARD-EVAL-PAYLOAD*               50331648     216662016     100663296      75497472       75497472      101105664      100663296      125829120      276824064   
*HAZARD-EVAL-TIME*                       300           300           300           300            300            300            300            300            300   
*HAZARD-TRIGGER-RATE*                0.00500       0.02000       0.01000       0.04000        0.04000        0.02000        0.04000        0.05000        0.08000   
*HAZCAM-BITS*                         393216       3145728       3145728       3145728        3145728        3201024       12582912        3145728       12582912   
*HAZCAM-PAYLOAD*                      196608       1572864       1572864       1572864        1572864        1600512        6291456         786432        6291456   
*LENGTH-OF-AUTONOMOUS-TRAVERSE*            0             8             0             0        4.50000        4.50000              0              0              0   
*LIDAR-BITS*                          393216        393216        262144             0              0              0              0         393216              0   
*LIDAR-PAYLOAD*                       196608        196608        131072             0              0              0              0              0              0   
*LOOKAHEAD-DISTANCE-DAY*                  11             8             9       4.50000        4.50000        4.50000        4.50000        4.50000        4.50000   
*LOOKAHEAD-DISTANCE-NIGHT*                11             8             9       4.50000        4.50000        4.50000        4.50000        4.50000        4.50000   
*NAVCAM-BITS*                       12582912      12582912      12582912      12582912       12582912       12582912       12582912       12582912       12582912   
*NAVCAM-PAYLOAD*                     3145728       4194304       3145728       3145728        3145728        2097152        3145728        3145728        6291456   
*ONBOARD-PROCESSING-TIME*                  0            20             0             0             55             55              0              0              0   
*PATH-MULTIPLIER*                          5             3             3             4              4              3              5              4              6   
*POST-AUTONOMY-PAYLOAD*             25165824      25165824             0      25165824       25165824       25165824       25165824       25165824       25165824   
*ROVER-DRIVING-TIME*             49974.62500   29995.16600   30000.62500   40006.31200    40004.06200    30021.53100    50008.45000    40001.31600    60026.91400   
*ROVER-WAITING-TIME*             13499.30500   67756.51000   55643.75000  102960.44500   139288.87000   188847.05000   163235.31000   407880.87000   599774.50000   
*RT-SCIENCE-CONSULTATION-RATE*       0.01000       0.01000       0.01000       0.01000        0.01000        0.01000        0.01000        0.01000        0.01000   
*RT-SCIENCE-CONSULTATION-TIME*            60           180            60            60             60             60             60            180            180   
*SPEED-MADE-GOOD*                    0.01567       0.00978       0.00950       0.00660        0.00498        0.00448        0.00413        0.00213        0.00142   
*SPEED-MADE-GOOD-ALONG-PATH*         0.07833       0.02933       0.02849       0.02639        0.01992        0.01346        0.02066        0.00852        0.00851   
*TIME-TO-DRIVE-SCENARIO*            17.73217      28.40934      29.25150      42.11302       55.77494       61.95252       67.23054      130.42740      195.89685   
*UPLINK-LATENCY*                          10            10            10            10             10             10             10            120             10   
